Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
Best-found solution has cost 75866.

Solution results
================
    # routes: 59
   # clients: 265
   objective: 75866
    distance: 75866
    duration: 75866
# iterations: 102472
    run-time: 3600.02 seconds

Solving the file: X-n270-k35.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    269 clients
    269 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500     10s |  55    39123    35681 |  42    35837    35668
H    1000     20s |  65    36037    35595 |  34    36086    35560
H    1500     31s |  27    35757    35532 |  41    32657    29492
H    2000     44s |  32    35898    35469 |  64    37825    35385
H    2500     56s |  60    35904    35452 |  36    31547    29164
H    3000     64s |  31    35757    35451 |  64    34607    29589
H    3500     74s |  58    35666    35450 |  60    36751    35384
H    4000     80s |  39    35533    35446 |  27    35424    35367
H    4500     86s |  31    35522    35444 |  33    35489    35406
H    5000     91s |  43    35473    35443 |  34    35443    35404
     5500     96s |  51    35496    35443 |  39    35435    35421
     6000    101s |  39    35541    35443 |  38    35459    35420
     6500    107s |  38    35532    35443 |  39    35438    35350
H    7000    113s |  57    35510    35428 |  47    35386    35350
     7500    120s |  52    35660    35428 |  51    35543    35360
H    8000    126s |  60    35550    35413 |  55    35458    35365
H    8500    132s |  31    35469    35412 |  55    35405    35361
H    9000    137s |  37    35423    35377 |  62    35389    35322
     9500    143s |  61    35473    35377 |  29    35356    35322
    10000    150s |  46    35579    35377 |  36    35851    35309
    10500    156s |  44    35514    35377 |  42    35504    35322
H   11000    163s |  57    35549    35375 |  44    35467    35320
    11500    171s |  29    35493    35375 |  48    35414    35332
    12000    177s |  42    35443    35375 |  52    35396    35332
    12500    182s |  41    35469    35375 |  55    35390    35349
    13000    187s |  53    35466    35375 |  58    35398    35349
    13500    192s |  44    35412    35375 |  55    35353    35304
    14000    197s |  35    35526    35375 |  62    35390    35320
    14500    202s |  34    35539    35375 |  29    35410    35320
H   15000    207s |  37    35508    35374 |  31    35410    35331
    15500    213s |  65    35438    35374 |  37    35377    35331
    16000    220s |  45    35490    35374 |  42    35513    35319
    16500    227s |  55    35498    35374 |  50    35398    35319
    17000    233s |  49    35548    35374 |  57    35534    35319
    17500    238s |  41    35567    35374 |  57    35424    35348
    18000    244s |  36    35553    35374 |  52    35400    35319
    18500    249s |  61    35485    35374 |  56    35414    35319
    19000    257s |  46    35514    35374 |  61    35439    35295
    19500    263s |  31    35572    35374 |  26    35456    35319
    20000    268s |  41    35540    35374 |  28    35436    35319
    20500    274s |  58    35583    35374 |  31    35498    35319
    21000    280s |  30    35580    35374 |  28    35459    35331
    21500    286s |  40    35565    35374 |  28    35467    35331
    22000    292s |  56    35570    35374 |  62    35483    35331
    22500    297s |  26    35548    35374 |  53    35457    35331
    23000    303s |  35    35551    35374 |  49    35511    35331
    23500    309s |  26    35491    35374 |  39    35426    35331
    24000    314s |  64    35506    35374 |  29    35466    35348
    24500    319s |  51    35465    35374 |  54    35328    35123
    25000    326s |  58    35617    35374 |  62    35483    35319
    25500    331s |  43    35591    35374 |  59    35477    35331
    26000    337s |  54    35593    35374 |  59    35454    35331
    26500    342s |  61    35521    35374 |  63    35433    35331
    27000    350s |  28    35579    35374 |  30    35483    35319
    27500    356s |  44    35488    35374 |  38    35430    35319
    28000    362s |  54    35552    35374 |  45    35423    35331
    28500    367s |  27    35543    35374 |  51    35418    35348
    29000    372s |  40    35571    35374 |  44    35474    35348
    29500    378s |  49    35513    35374 |  32    35499    35306
    30000    383s |  56    35536    35374 |  36    35405    35319
    30500    389s |  56    35535    35374 |  41    35430    35319
    31000    395s |  54    35554    35374 |  44    35458    35319
    31500    401s |  39    35562    35374 |  45    35475    35319
    32000    407s |  33    35528    35374 |  42    35475    35331
    32500    413s |  37    35506    35374 |  44    35441    35331
    33000    418s |  48    35513    35374 |  45    35426    35331
    33500    424s |  65    35491    35374 |  42    35416    35331
    34000    430s |  40    35485    35374 |  43    35426    35331
    34500    435s |  54    35488    35374 |  50    35413    35331
R                 |        restart        |        restart
    35000    443s |  38    40723    35725 |  61    35991    35716
    35500    453s |  57    35948    35532 |  63    37573    35369
    36000    462s |  59    35683    35435 |  46    35626    35407
    36500    470s |  47    35525    35414 |  47    35482    35396
    37000    480s |  48    35520    35414 |  61    35858    35358
    37500    492s |  49    35966    35414 |  62    37205    35070
    38000    500s |  55    35566    35413 |  65    36157    35398
    38500    508s |  50    35513    35413 |  62    35426    35376
    39000    521s |  63    35962    35412 |  41    36036    35391
    39500    533s |  25    35464    35412 |  40    35552    35129
    40000    545s |  26    35661    35402 |  51    36679    35123
H   40500    554s |  38    35492    35372 |  44    35677    35363
H   41000    564s |  44    35484    35371 |  25    35548    35357
    41500    574s |  33    35572    35371 |  54    35533    35361
    42000    582s |  62    35546    35371 |  49    35440    35302
    42500    591s |  35    35554    35371 |  61    35023    29511
    43000    603s |  40    35520    35371 |  61    35840    35362
    43500    613s |  30    35600    35371 |  35    35656    35366
    44000    627s |  48    35775    35371 |  49    31943    29344
    44500    639s |  33    35794    35371 |  51    37243    35099
    45000    648s |  40    35471    35371 |  42    35421    35362
    45500    658s |  34    35745    35371 |  55    37286    35375
    46000    667s |  29    35618    35371 |  50    35807    35363
    46500    678s |  25    35494    35371 |  60    37306    35119
    47000    687s |  35    35533    35371 |  54    35463    35338
    47500    699s |  31    35697    35371 |  27    35399    35037
    48000    709s |  39    35657    35371 |  49    35517    35357
    48500    720s |  26    35520    35371 |  54    35774    35081
    49000    732s |  60    36082    35371 |  60    35963    35369
    49500    745s |  26    35572    35371 |  64    36470    35367
    50000    754s |  42    35532    35371 |  62    35537    35341
    50500    763s |  39    35518    35371 |  52    35433    35348
    51000    772s |  59    35635    35371 |  27    35463    35341
    51500    782s |  26    35450    35371 |  28    35486    35367
    52000    792s |  60    35697    35371 |  40    31642    29186
    52500    802s |  29    35584    35371 |  63    35640    35338
    53000    812s |  26    35624    35371 |  58    35554    35363
H   53500    822s |  28    35534    35355 |  44    35483    35336
    54000    830s |  43    35608    35355 |  42    36255    35335
    54500    843s |  54    35631    35355 |  50    35863    35353
    55000    854s |  64    35594    35355 |  61    35485    35328
H   55500    864s |  63    35576    35351 |  29    35454    35335
    56000    875s |  63    35943    35351 |  52    36047    35349
    56500    887s |  58    35543    35351 |  58    35951    35357
    57000    900s |  55    35626    35351 |  47    34137    29153
    57500    911s |  54    35674    35351 |  28    31835    29204
    58000    922s |  27    35542    35351 |  54    35470    35328
    58500    928s |  62    35510    35351 |  58    35435    35321
    59000    937s |  59    35694    35351 |  38    33631    29134
    59500    945s |  25    35558    35351 |  60    35481    35342
    60000    957s |  25    35570    35351 |  37    35613    35349
    60500    965s |  53    35538    35351 |  55    35428    35339
    61000    975s |  30    35872    35351 |  29    38056    35301
    61500    988s |  61    36111    35351 |  52    36584    35339
    62000    997s |  35    35823    35351 |  59    37270    35135
    62500   1008s |  25    35623    35351 |  37    37552    35088
    63000   1018s |  46    35789    35351 |  42    35886    35340
    63500   1028s |  27    35634    35351 |  56    35573    35357
    64000   1040s |  64    35665    35351 |  42    35703    35357
    64500   1053s |  28    35660    35351 |  42    35793    35348
    65000   1064s |  35    35701    35351 |  65    33483    29172
    65500   1074s |  40    35454    35351 |  57    35386    35342
    66000   1084s |  29    35741    35351 |  33    35644    35076
    66500   1095s |  39    35708    35351 |  45    36453    35340
    67000   1106s |  46    35515    35351 |  43    35913    35349
    67500   1114s |  45    35492    35351 |  44    35431    35342
    68000   1123s |  54    35711    35351 |  56    36138    35349
    68500   1137s |  50    36062    35351 |  56    37235    35339
    69000   1149s |  45    36076    35351 |  46    35542    35075
    69500   1155s |  29    35630    35351 |  53    35415    35329
    70000   1165s |  59    35586    35351 |  31    35442    35311
    70500   1178s |  65    35736    35351 |  34    35360    35069
    71000   1186s |  58    35573    35351 |  63    35498    35333
    71500   1194s |  62    35524    35351 |  47    35504    35352
    72000   1207s |  57    35857    35351 |  56    36471    35349
    72500   1219s |  64    36032    35351 |  54    37060    35367
    73000   1229s |  46    35555    35351 |  34    35490    35340
    73500   1237s |  63    35446    35351 |  42    35399    35326
    74000   1247s |  29    35795    35351 |  31    31596    29381
    74500   1259s |  42    35557    35351 |  35    35515    33553
    75000   1266s |  50    35522    35351 |  43    35384    35336
H   75500   1276s |  57    35943    35350 |  61    36468    35337
    76000   1289s |  43    35543    35350 |  56    35886    35356
    76500   1296s |  50    35546    35350 |  44    35604    35334
    77000   1307s |  59    35546    35350 |  63    35435    35333
